Timestamp,DeviceName,AccountName,ActionType,FileName,FolderPath,SHA256,ProcessCommandLine
"May 4, 2026 10:47:03 AM",threat-hunt-lab,employee,ProcessCreated,firefox.exe,C:\Users\employee\Desktop\Tor Browser\Browser\firefox.exe,cc24a3b8e51a8301f65fe06335ec65a95b9076d4784dfbae0a6adac0f025bfaa,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 4860:29031 -prefMapHandle 4864:276329 -jsInitHandle 4868:242716 -parentBuildID 20260427173000 -ipcHandle 4872 -initialChannelId {e8a33868-167c-44db-82ff-039c90964860} -parentPid 6712 -win32kLockedDown -appDir ""C:\Users\employee\Desktop\Tor Browser\Browser\browser"" - 10 tab"
"May 4, 2026 10:47:03 AM",threat-hunt-lab,employee,ProcessCreated,firefox.exe,C:\Users\employee\Desktop\Tor Browser\Browser\firefox.exe,cc24a3b8e51a8301f65fe06335ec65a95b9076d4784dfbae0a6adac0f025bfaa,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 3232:29031 -prefMapHandle 4624:276329 -jsInitHandle 4608:242716 -parentBuildID 20260427173000 -ipcHandle 3136 -initialChannelId {595accaa-461c-4a03-bbbc-379d0a683847} -parentPid 6712 -win32kLockedDown -appDir ""C:\Users\employee\Desktop\Tor Browser\Browser\browser"" - 9 tab"
"May 4, 2026 10:47:03 AM",threat-hunt-lab,employee,ProcessCreated,firefox.exe,C:\Users\employee\Desktop\Tor Browser\Browser\firefox.exe,cc24a3b8e51a8301f65fe06335ec65a95b9076d4784dfbae0a6adac0f025bfaa,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 3548:29031 -prefMapHandle 3148:276329 -jsInitHandle 3136:242716 -parentBuildID 20260427173000 -ipcHandle 1960 -initialChannelId {9aead445-cae7-4599-85ea-dc0a40e41f5e} -parentPid 6712 -win32kLockedDown -appDir ""C:\Users\employee\Desktop\Tor Browser\Browser\browser"" - 8 tab"
"May 4, 2026 10:46:58 AM",threat-hunt-lab,employee,ProcessCreated,tor.exe,C:\Users\employee\Desktop\Tor Browser\Browser\TorBrowser\Tor\tor.exe,a028d058c4d49cf0df10fe6069e4c8fe177d8996414550c6f10c1a97ee24a620,"""tor.exe"" -f ""C:\Users\employee\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\employee\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\employee\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\employee\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\employee\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\employee\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 6712 DisableNetwork 1"
"May 4, 2026 10:46:56 AM",threat-hunt-lab,employee,ProcessCreated,firefox.exe,C:\Users\employee\Desktop\Tor Browser\Browser\firefox.exe,cc24a3b8e51a8301f65fe06335ec65a95b9076d4784dfbae0a6adac0f025bfaa,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 4196:28693 -prefMapHandle 4200:276329 -jsInitHandle 4204:242716 -parentBuildID 20260427173000 -ipcHandle 4212 -initialChannelId {1ce590f5-69af-49ae-8dd6-68f2d992ad5c} -parentPid 6712 -win32kLockedDown -appDir ""C:\Users\employee\Desktop\Tor Browser\Browser\browser"" - 7 tab"
"May 4, 2026 10:46:56 AM",threat-hunt-lab,employee,ProcessCreated,firefox.exe,C:\Users\employee\Desktop\Tor Browser\Browser\firefox.exe,cc24a3b8e51a8301f65fe06335ec65a95b9076d4784dfbae0a6adac0f025bfaa,"""firefox.exe"" -contentproc -parentBuildID 20260427173000 -sandboxingKind 0 -prefsHandle 3156:29630 -prefMapHandle 1784:276329 -ipcHandle 1672 -initialChannelId {2cb3378b-0368-4b2d-a732-cb9acfccd3db} -parentPid 6712 -win32kLockedDown -appDir ""C:\Users\employee\Desktop\Tor Browser\Browser\browser"" - 6 utility"
"May 4, 2026 10:46:55 AM",threat-hunt-lab,employee,ProcessCreated,firefox.exe,C:\Users\employee\Desktop\Tor Browser\Browser\firefox.exe,cc24a3b8e51a8301f65fe06335ec65a95b9076d4784dfbae0a6adac0f025bfaa,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 3736:27841 -prefMapHandle 3740:276329 -jsInitHandle 3744:242716 -parentBuildID 20260427173000 -ipcHandle 3752 -initialChannelId {95ab75e7-d552-4980-8ec5-6204de6c656a} -parentPid 6712 -win32kLockedDown -appDir ""C:\Users\employee\Desktop\Tor Browser\Browser\browser"" - 5 tab"
"May 4, 2026 10:46:55 AM",threat-hunt-lab,employee,ProcessCreated,firefox.exe,C:\Users\employee\Desktop\Tor Browser\Browser\firefox.exe,cc24a3b8e51a8301f65fe06335ec65a95b9076d4784dfbae0a6adac0f025bfaa,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 3372:27765 -prefMapHandle 3376:276329 -jsInitHandle 3380:242716 -parentBuildID 20260427173000 -ipcHandle 2088 -initialChannelId {710bfff3-33ce-479a-9ce5-f1a3bcbf6036} -parentPid 6712 -win32kLockedDown -appDir ""C:\Users\employee\Desktop\Tor Browser\Browser\browser"" - 4 tab"
"May 4, 2026 10:46:55 AM",threat-hunt-lab,employee,ProcessCreated,firefox.exe,C:\Users\employee\Desktop\Tor Browser\Browser\firefox.exe,cc24a3b8e51a8301f65fe06335ec65a95b9076d4784dfbae0a6adac0f025bfaa,"""firefox.exe"" -contentproc -parentBuildID 20260427173000 -prefsHandle 2184:27703 -prefMapHandle 2188:276329 -ipcHandle 1460 -initialChannelId {e8b4c15c-f6fd-4479-8e20-3ab6a14a92fc} -parentPid 6712 -appDir ""C:\Users\employee\Desktop\Tor Browser\Browser\browser"" - 3 rdd"
"May 4, 2026 10:46:55 AM",threat-hunt-lab,employee,ProcessCreated,firefox.exe,C:\Users\employee\Desktop\Tor Browser\Browser\firefox.exe,cc24a3b8e51a8301f65fe06335ec65a95b9076d4784dfbae0a6adac0f025bfaa,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 1704:27031 -prefMapHandle 1896:276329 -jsInitHandle 1800:242716 -parentBuildID 20260427173000 -ipcHandle 1996 -initialChannelId {f22e9d7a-d8da-4fe6-8948-62e85f78af95} -parentPid 6712 -win32kLockedDown -appDir ""C:\Users\employee\Desktop\Tor Browser\Browser\browser"" - 2 tab"
